"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","Genus.join","primary","secondary"
"ASV_38","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cadophora","s__melinii","Cadophora","litter_saprotroph","plant_pathogen"
"ASV_39","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Biatriosporaceae","g__Biatriospora",NA,"Biatriospora","wood_saprotroph","foliar_endophyte"
"ASV_40","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Sordariomycetes_fam_Incertae_sedis","g__Oncopodiella",NA,"Oncopodiella","wood_saprotroph",""
"ASV_41","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__taibaiensis","Vishniacozyma","soil_saprotroph",""
"ASV_42","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Barbatosphaeria","s__neglecta","Barbatosphaeria","wood_saprotroph",""
"ASV_43","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Radulidium","s__subulatum","Radulidium","unspecified_saprotroph",""
"ASV_44","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium","s__sicilianum","Phaeoacremonium","plant_pathogen",""
"ASV_45","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA,NA,NA,NA
"ASV_46","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Collophora",NA,"Collophora","plant_pathogen","wood_saprotroph"
"ASV_47","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Cerrenaceae","g__Cerrena",NA,"Cerrena","wood_saprotroph",""
"ASV_48","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Biatriosporaceae","g__Biatriospora","s__antibiotica","Biatriospora","wood_saprotroph","foliar_endophyte"
"ASV_49","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Occultibambusaceae","g__Brunneofusispora","s__sinensis","Brunneofusispora","wood_saprotroph",""
"ASV_50","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Microcera","s__larvarum","Microcera","animal_parasite","animal_decomposer"
"ASV_51","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_52","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,NA,NA,NA
"ASV_53","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales",NA,NA,NA,NA,NA,NA
"ASV_54","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusicolla","s__septimanifiniscientiae","Fusicolla","mycoparasite","fungal_decomposer"
"ASV_55","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Cryptococcus","s__gattii","Cryptococcus","unspecified_saprotroph","foliar_endophyte"
"ASV_56","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica","Acericola","wood_saprotroph",""
"ASV_57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_58","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,NA,NA,NA
"ASV_59","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Lecania","s__cyrtellina","Lecania","lichenized",""
"ASV_60","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica","Acericola","wood_saprotroph",""
"ASV_61","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe",NA,"Diaporthe","plant_pathogen","litter_saprotroph"
"ASV_62","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe",NA,"Diaporthe","plant_pathogen","litter_saprotroph"
"ASV_63","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__parvum","Acremonium","unspecified_saprotroph","foliar_endophyte"
"ASV_64","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__olivacea","Cyphellophora","litter_saprotroph","animal_parasite"
"ASV_65","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Solicorynespora",NA,"Solicorynespora","wood_saprotroph",""
"ASV_66","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_67","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales",NA,NA,NA,NA,NA,NA
"ASV_69","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariales_fam_Incertae_sedis","g__Phialemoniopsis","s__ocularis","Phialemoniopsis","animal_parasite","animal_decomposer"
"ASV_70","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium","s__minimum","Phaeoacremonium","plant_pathogen",""
"ASV_71","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae",NA,NA,NA,NA,NA
"ASV_72","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Nigrograna",NA,"Nigrograna","animal_parasite","animal_decomposer"
"ASV_73","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma",NA,"Vishniacozyma","soil_saprotroph",""
"ASV_74","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Pragmopora",NA,"Pragmopora","wood_saprotroph",""
"ASV_75","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_76","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Lecania","s__croatica","Lecania","lichenized",""
"ASV_78","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae",NA,NA,NA,NA,NA
"ASV_79","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae",NA,NA,NA,NA,NA
"ASV_80","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae",NA,NA,NA,NA,NA
"ASV_81","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Lecania","s__croatica","Lecania","lichenized",""
"ASV_82","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__rosigena","Neosetophoma","litter_saprotroph","foliar_endophyte"
"ASV_83","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Lecanicillium","s__muscarium","Lecanicillium","animal_parasite","animal_decomposer"
"ASV_84","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella",NA,"Rhinocladiella","soil_saprotroph","animal_parasite"
"ASV_86","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amorosiaceae","g__Angustimassarina","s__acerina","Angustimassarina","mycoparasite","wood_saprotroph"
"ASV_87","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Dissoconiaceae","g__Ramichloridium","s__apiculatum","Ramichloridium","plant_pathogen","litter_saprotroph"
"ASV_88","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,NA,NA,NA
"ASV_89","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylella","s__arnaudii","Dactylella","wood_saprotroph","litter_saprotroph"
"ASV_91","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_92","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_94","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Microcera","s__rubra","Microcera","animal_parasite","animal_decomposer"
"ASV_95","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae",NA,NA,NA,NA,NA
"ASV_97","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Barbatosphaeria","s__barbirostris","Barbatosphaeria","wood_saprotroph",""
"ASV_98","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_99","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora",NA,"Cyphellophora","litter_saprotroph","animal_parasite"
"ASV_101","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Nigrograna","s__cangshanensis","Nigrograna","animal_parasite","animal_decomposer"
"ASV_102","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_103","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_105","k__Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_106","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA,NA,NA,NA
"ASV_107","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_108","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Thyridariaceae",NA,NA,NA,NA,NA
"ASV_109","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Lecanicillium","s__muscarium","Lecanicillium","animal_parasite","animal_decomposer"
"ASV_110","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium",NA,"Phaeoacremonium","plant_pathogen",""
"ASV_111","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,NA,NA,NA
"ASV_112","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA,NA,NA,NA
"ASV_113","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Pseudocosmospora",NA,"Pseudocosmospora","mycoparasite","fungal_decomposer"
"ASV_114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_115","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala",NA,"Exophiala","animal_parasite","litter_saprotroph"
"ASV_116","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena","s__tenebrio","Arthrocatena","soil_saprotroph","rock-inhabiting"
"ASV_117","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Leptodontidium","s__trabinellum","Leptodontidium","litter_saprotroph","ericoid_mycorrhizal"
"ASV_118","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__furcatum","Acremonium","unspecified_saprotroph","foliar_endophyte"
"ASV_119","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora",NA,"Cyphellophora","litter_saprotroph","animal_parasite"
"ASV_120","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Neohendersonia","s__kickxii","Neohendersonia","wood_saprotroph",""
"ASV_121","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae",NA,NA,NA,NA,NA
"ASV_122","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_124","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Calycina","s__claroflava","Calycina","wood_saprotroph","foliar_endophyte"
"ASV_125","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Lecania","s__croatica","Lecania","lichenized",""
"ASV_126","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__alternatum","Acremonium","unspecified_saprotroph","foliar_endophyte"
"ASV_127","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__olivacea","Cyphellophora","litter_saprotroph","animal_parasite"
"ASV_128","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_129","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cadophora","s__melinii","Cadophora","litter_saprotroph","plant_pathogen"
"ASV_130","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Phialocephala",NA,"Phialocephala","soil_saprotroph","root_endophyte"
"ASV_131","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Crassiperidium","s__octosporum","Crassiperidium","wood_saprotroph",""
"ASV_132","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Hyaloriaceae","g__Stypella","s__variabilis","Stypella","wood_saprotroph",""
"ASV_134","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Aureobasidiaceae","g__Kabatiella",NA,"Kabatiella","plant_pathogen","litter_saprotroph"
"ASV_135","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium",NA,"Phaeoacremonium","plant_pathogen",""
"ASV_136","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_137","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Microcera","s__larvarum","Microcera","animal_parasite","animal_decomposer"
"ASV_138","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_139","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__alternatum","Acremonium","unspecified_saprotroph","foliar_endophyte"
"ASV_140","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA,NA,NA,NA
"ASV_141","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA,NA,NA,NA
"ASV_142","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_143","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Sordariomycetes_fam_Incertae_sedis","g__Oncopodiella",NA,"Oncopodiella","wood_saprotroph",""
"ASV_144","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma",NA,"Lophiostoma","wood_saprotroph","litter_saprotroph"
"ASV_145","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__dejongiae","Sarocladium","plant_pathogen","litter_saprotroph"
"ASV_148","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Botryosphaeria","s__quercuum","Botryosphaeria","plant_pathogen","litter_saprotroph"
"ASV_149","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,NA,NA,NA
"ASV_151","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella",NA,"Rhinocladiella","soil_saprotroph","animal_parasite"
"ASV_152","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella",NA,"Rhinocladiella","soil_saprotroph","animal_parasite"
"ASV_153","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__strictum","Sarocladium","plant_pathogen","litter_saprotroph"
"ASV_154","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,NA,NA,NA
"ASV_155","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA,NA,NA,NA
"ASV_156","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Lecania","s__cyrtellina","Lecania","lichenized",""
"ASV_157","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella",NA,"Rhinocladiella","soil_saprotroph","animal_parasite"
"ASV_158","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","s__radiata","Phlebia","wood_saprotroph",""
"ASV_159","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","g__Kurtzmanomyces",NA,"Kurtzmanomyces","unspecified_saprotroph",""
"ASV_161","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Thyridariaceae",NA,NA,NA,NA,NA
"ASV_163","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae",NA,NA,NA,NA,NA
"ASV_165","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Arthoniales","f__Arthoniaceae","g__Arthonia","s__apatetica","Arthonia","lichenized",""
"ASV_166","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_167","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__tenuissimum","Cladosporium","litter_saprotroph","plant_pathogen"
"ASV_168","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_169","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Lecania","s__croatica","Lecania","lichenized",""
"ASV_171","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__parvispora","Mortierella","soil_saprotroph","root-associated"
"ASV_172","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Capronia",NA,"Capronia","soil_saprotroph","root_endophyte_dark_septate"
"ASV_173","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_175","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_176","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Phaeophyscia",NA,"Phaeophyscia","lichenized",""
"ASV_177","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Phaeophyscia",NA,"Phaeophyscia","lichenized",""
"ASV_178","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae",NA,NA,NA,NA,NA
"ASV_180","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Capronia",NA,"Capronia","soil_saprotroph","root_endophyte_dark_septate"
"ASV_181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_182","k__Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_184","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,NA,NA,NA
"ASV_185","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella",NA,"Rhinocladiella","soil_saprotroph","animal_parasite"
"ASV_186","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Sphaerostilbella","s__lutea","Sphaerostilbella","mycoparasite","fungal_decomposer"
"ASV_187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_190","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Capronia",NA,"Capronia","soil_saprotroph","root_endophyte_dark_septate"
